text,true_label,predicted_label
دکمه آیپاد شافل نوع طراحی‌شده‌اند شما بعد مدت استفاده دیگر نیاز ندارید دکمه نگاه کنید آن استفاده کنید .,Positive,Neutral
هر برنامه باز خواستید خیال راح بریزید اجرا مطمئن هستید .,Neutral,Positive
حال پایین نگه‌داشتن قیم ، سع شده ظاهر ، کنترل پنل کانکشن ساده باشند .,Neutral,Positive
•طراح طراح گوش شباه بسیار گوش زیبا Xperia arc دارد ، طور قسم پشت دستگاه دارا انحنا بوده ضخام قسم میان ک بالا پایین گوش .,Neutral,Positive
سلا دوس ، من ۹ سال Qteck htc دا قبل گوش منتقد جد اپل بود عید امسال گوش رو گرف واقعا اشتبا پ برد .,Neutral,Positive
) امتیاز ۱۰ حقشه یکم چشم‌پوش ایرادا جزئ .,Positive,Negative
البته فوکوس راه لمس اشیا صفحه ال سی‌د انجا می‌شود ول بعض مواقع اشیا آنقدر کوچک هستند قابل‌لمس انگ نیستند .,Neutral,Negative
واقعا لپ‌تاپ خوب هست ول هر چ می‌گرد نمی‌تون درایور finger print رو پیدا بکن سا hp دانلود نمیشه .,Neutral,Positive
محصولات نظر کیف واقعا حرف گفتن دارن .,Neutral,Positive
برتری xperia v نسب tx بلوتوث ۴ ضد اب بودن Sony Mobile BRAVIA Engine ۲ دوا باتر ب وزن ک سایز مناسب صدا اسپیکر به تراک پیکسل بالا,Neutral,Positive
نسل بعد Snapdragon S ۴ Prime تازه حد Exynos ۵ هس مقابل Exynos ۶ هیچ نیس .,Neutral,Positive
خصوص اینکه قسم استراح مچ پ درب ، طراح الگو دار نیز دارد سطح کاملا صیقل مواجه نباش .,Neutral,Positive
. خرید ۵ میتون vita باز یه دستگاه دیگه بخر,Negative,Neutral
حرف صورت درسته دسترس ن پرسرع نباشه صور دیوایس آندروید امکاناتشون تو ایر کارا نداره .,Neutral,Negative
نظر من گوش خوب من لومیا ۹۲۰ ترجیح می‌ده,Neutral,Negative
پردازنده ۴ هسته اون ۲ ٫ ۵ گیگاهرتز ر اون DDR ۳ هست USB ۳ داره .,Positive,Neutral
• کیبورد تاچ پدبه لطف بدنه عریض لپ‌تاپ ، Acer کیبورد بزرگ همراه بخ عدد جداگانه رو سر E ۱ - ۵۳۱ قرار داده_اس .,Positive,Neutral
البته باعث می‌شود هنگا استفاده گوش نگران کمتر مراقب داشته_باشید هر صور سن همیشگ محک قابل‌اعتماد بودن گوشی نوکیا گوش استفاده‌شده .,Positive,Neutral
محض اینکه نخستین بار دستگاه روشن کردید فرایند خودکار پیکربند اجرا می‌کند حدود دقیقه طول می‌انجامد .,Positive,Neutral
اکسپریا ر بدنه باریک بسیار شیک داره عین حال باید محافظ بسیار کرد دلیل این‌که :۱ - لنز دوربین هیچ محافظ ندارد .,Positive,Negative
بالاخره وقت همه شرکت رو محصولاتشون کابل ار دار میذارن فکر خنث کردن نوس هستن دیگه خیل مشکل‌ساز نیس .,Neutral,Positive
دستگاه ps ۳ رقاب می‌کند ول قیم پایین‌تر دارد,Positive,Neutral
نظر من اپل دیگه دوره سر رسیده قرار خریدن گوش امک بالا باشه اس ۳ انتخاب بهتر هس باز قرار خرید سیستم‌عامل عال باشه باز آندرید بهتره کیف صفحه نما باز اس ۳ بهتره,Negative,Positive
محیط کاربر دوربین Xperia ray دقیقا مشابه مدل Xperia arc قابلیت امک نسبتا زیاد مجهز .,Positive,Neutral
۲ ایراد بد داره ۱: کمینه دیافراگم خیل زیاده نوع لنز کنده ۲: استایل تو دس خوب نداره ، دوربین تو دست نیس نظر داشته باشین کانن تو ایزو بالا تو رنج به فوج نیکون عمل میکنه,Neutral,Negative
کیف عکس معمولیه فوق‌العاده نیس .,Neutral,Negative
ول مبلغ گزینه بهتر هس .,Neutral,Positive
سرع فوکوس خودکار نیز چه مود Live view هنگا فیلم‌بردار چه غیر فوق‌العاده مثال زدن .,Positive,Neutral
البته اون زمان من خرید قیم گوش ارزون,Neutral,Negative
عکس دوربین میگیره حساس بالا سنسور نویز بسیار ک هم‌چنین سرع بالا همه باعث می‌شه خیل زود عاشق بش ضعف همون فیل بردار هس رو تقریبا فرامو کنید .,Positive,Negative
اکسپریا T ۱۰ انگ ساپور میکنه خود تس کرد گرچه اصلا کار نمیاد ۱۰ انگ,Positive,Negative
آقا Steve Jobs معرف دستگاه درباره کیف نمایشگر صحب کرد ادعا کرد کیف کیف چ انس می‌رسد .,Positive,Neutral
عاشق ال ج هرچ بسازه ول طراح گوش مشکل دار .,Neutral,Negative
محبوب باز حال گوشی هوشمند پر طرفدار .,Neutral,Positive
هیچ مشکل آنتن ده وجود نداره رفتن Setting About Phone تاچ رو Status انتخاب سیم‌کار ، میز دریاف فرکانس آنتن شما داده میشه .,Neutral,Positive
وجود ، علاقه مند دنیا موسیق فیل ، به هدفون بلندگو خارج استفاده کنند .,Neutral,Positive
بسیار برنامه اصل گوگل نظیر جستجو صوت ، نقشه ، ایمیل .,Neutral,Positive
عنو مثال سیس شما ویروس باشد دچار مشکل رجیستر باشد نتوانید Net Framework نصب کنید نتیجه قادر نخواهید_بود اصولا اتور مجموعه ببینید درنتیجه قادر نصب هیچ برنامه دیگر رو د و دی نخواهید_بود .,Neutral,Negative
JVC GZ-MG ۳۳۵ ، مجهز تنظ پ تعیین‌شده مثل تنظ سفید حالت مختلف ، حالت تصویربردار پ تنظیم‌شده ، مثل ساحل ، نور شمع ، طلوع غروب آفتاب ، آتش‌باز ، منظره ، ورز .,Positive,Neutral
گوش خیل خوب هس لحاظ قیم لحاظ به بودن نسب t tx ول نظر من یه مشکل کوچک داره ، اندازه گوش نسب صفحه نما اون کم بزرگ هس فاصله بالا گوش بالا صفحه نما کم زیاد هست,Neutral,Negative
"میتونین اتصال گوشیتون کامپیو دوبار کلیک کردن رو فایل نصب برنامه , براحت برنامه تون رو نصب کنید .",Positive,Neutral
قدر متوسط سخ افزار گوش اجرا فرامین کاربر کاف هستند .,Neutral,Negative
باشید همین طور بی‌دلیل روشن نذارید باشه,Neutral,Negative
کلا من دوربین کانن دار سامسونگ دا تو رنج قیم کم بالا کانن بخرید خیل بهتره حت توانا ک باشه .,Negative,Positive
البته ارزش ب هاس !,Positive,Negative
نه‌تن دوربین تبل فوکوس ثاب می‌کند بلکه نیز مجهز همین عکس گرفته‌شده کم‌نور ، پایین حد متوسط بوده زیاد دارند,Negative,Positive
زو بالا شاید هیچ وق بدردتون نخوره شما همیشه سه پایه دنبالتون نیس .,Neutral,Positive
قابل کارکرد تن نانو سیم‌کار ( NanoSIM Card Support Only ) توجه این‌که ما مخابر ایر تکنولوژ سیم‌کار نانو ندار !,Neutral,Negative
پول میتونید تبل خوب داشته_باشید یه گوش خیل خوب .,Negative,Positive
سلا دوس gpu کار رفته گوش نوع adreno ۲۰۰ می‌باشد ، نرم‌افزار آن تس گرف cpu : cortex a ۵ ۱ ghz ram : ۷۶۸ gpu : adreno ۲۰۰ ---------- یه e dual مقایسه کرد ، بزرگ صفحه e dual بهتره ک برد e dual اس اس زدن راحت ، ول کیف تاچ رنگ لعاب صفحه نما young به ضمن منو e dual نظر خیل ساده young ( young ب خو اومد ) ---------------------,Neutral,Positive
نظر کیف عکس فیل هرچند سنسور تصویر ه ول انتظار دار پیشرفت رخ‌داده باشد .,Positive,Negative
گلکس اس ۲ شیک بودن حرف اون مقدار توجه آمدن cpu ۲ هسته ۱ ٫ ۴ هسته حرف چندان نمی‌تواند بزند نظر دوربین بد یک نویز داره ول نسب گوشی قیم میشه میتونه جا باز ول نظر اپد : میدونید گوش اندروید ٫ خیلی مایل اپدیت هستن مورد باید بگ اپد می‌کنید گوش مقدار انجا برنامه هنگ داره وقت کار گرافیک گوش انجا می‌دهید پر صفحه کاملا ول کل بگ اگه میخواید گوش رو بخرید بهتره یه سر xperia xperia acro s خودتون مقایسه کنید .,Negative,Neutral
اکتبر ۲۰۰۷ طور انبوه عرضه .,Positive,Neutral
گوش خوبیه من شخصا انتظار یه گوش به رو دا ۱.,Neutral,Positive
من اپل ول گوش حال گرفته_شد : ( ۱ ساله بگیرم .,Negative,Neutral
قیم بالا نمیتونه نقطه‌ضعف باشه همیشه باید داشتن بهترینا ، هزینه بیشتر داد,Positive,Negative
